"","X17.AAG","GSK.1904529A","Bosutinib","RDEA119","Nutlin.3a","PD.0325901","Epothilone.B"
"285",-2.335379,3.376452,4.907835,5.090679,1.694227,1.350135,-9.354538
"286",-1.457715,4.156133,2.621294,3.109605,4.723283,2.358669,-0.055821
"287",-3.395001,4.543101,2.364582,0.942339,2.688599,-2.214027,-0.864851
"288",3.809323,2.103071,3.863355,0.115456,6.24569,-1.823097,-3.704485
"289",-3.565462,4.025244,3.385113,3.989743,5.414116,-0.106853,-4.102745
"290",-0.3978,3.378426,4.669676,5.990015,6.59982,3.177955,-2.487132
"291",3.46999,2.414413,1.62153,1.73687,6.542116,-2.051194,-6.346264
"292",-2.472984,2.365557,0.601954,2.470014,5.06632,-0.512296,-5.160898
"293",2.11774,5.211497,-1.886959,-0.534691,5.209409,-2.166965,-6.48573
"294",-4.431589,2.320275,0.715222,-0.64224,1.7571,-3.732392,-6.982951
"295",-4.09867,3.414872,1.173818,2.906539,2.331858,2.940774,-6.226981
"296",0.591897,4.666777,5.08029,5.388276,6.670544,2.408553,-2.500945
"297",-2.052208,4.571237,3.770333,1.884335,3.299529,0.280551,-5.920509
"298",-0.901246,5.433557,2.786837,2.791223,6.687844,1.778897,0.570635
"299",0.761323,2.792465,5.112958,1.03745,6.208014,-1.107179,-8.711208
"300",-1.338169,3.638986,0.747208,5.617002,6.20539,-2.343376,-7.02092
"301",4.914814,4.581835,3.169119,5.861401,5.043204,2.967591,-4.891843
"302",-5.65629,4.08956,0.051071,-1.137904,6.182597,-4.48494,-6.635036
"303",-0.531314,3.318651,1.576737,3.225271,5.889647,3.113339,-5.934061
"304",-0.338972,3.09849,1.316619,0.957998,6.009805,-0.400765,-7.680759
"305",1.270554,4.543632,4.793284,0.771977,2.110936,-1.487943,-6.0063
"306",4.9449,4.585362,4.616954,6.341066,4.721991,3.570824,-1.236548
"307",-0.814408,3.140967,-0.236371,2.365321,4.156858,2.193674,-4.053449
"308",-0.788883,4.184344,4.11866,1.440748,6.68214,1.613637,-4.792791
"309",4.151942,3.500356,5.366024,5.802365,4.337012,1.865485,-7.013023
"310",2.000301,2.748496,4.968059,5.559179,7.07042,3.579537,-4.580751
"311",-0.584078,5.120246,0.979796,1.125726,0.945661,0.571184,1.541353
"312",-2.681957,2.97704,-0.233677,-0.924001,0.404732,-4.941626,-6.142657
"313",-1.395827,3.683865,4.36487,-0.981207,4.784114,-3.525671,-4.068825
"314",-2.228223,3.511205,1.402071,-0.284109,4.920309,-4.236937,-0.274908
"315",2.705731,2.164361,1.427259,5.287267,0.651941,3.203343,-6.129364
"316",0.125259,4.524618,5.279878,2.482811,1.166164,-2.298407,-4.5058
"317",0.304802,3.346305,4.723186,4.794369,2.442607,3.23083,-2.882121
"318",-0.998897,3.799584,1.475574,5.269622,6.488815,2.806244,-7.712844
"319",2.780563,4.48768,2.859645,1.872365,6.489096,-0.996696,-4.801699
"320",1.254731,5.014801,4.663958,-0.02251,1.88127,-1.688156,-4.542266
"321",3.474684,4.683023,3.445624,6.471154,5.290392,0.165697,-4.04311
"322",-1.306104,4.288172,5.425941,-0.5854,0.97582,-2.551073,-4.81959
"323",0.097847,4.866753,2.678019,6.633433,7.372588,3.290308,-4.749031
"324",0.544654,4.008891,0.935416,5.781369,6.472191,3.421297,-5.856346
"325",-1.239398,4.808176,2.529769,2.807974,6.561808,1.08262,-5.213083
"326",4.03958,3.839794,5.787172,6.007708,6.85892,3.583805,-2.195282
"327",-1.503944,5.264643,4.914721,3.594784,6.848922,1.350918,-2.849179
"328",-1.814902,1.871066,2.151499,2.672729,5.235451,-1.681694,-7.035593
"329",-1.270312,3.465761,4.231655,3.141945,5.26685,-2.084389,-6.996401
"330",-1.6776,5.441169,3.104169,2.223282,6.619402,0.045125,-2.902428
"331",-1.508027,1.764398,2.958688,-0.80749,4.404162,-4.248029,-7.279866
"332",-0.052718,2.075673,3.725788,1.498162,2.59676,-1.515904,-3.173845
"333",-0.785939,5.423417,3.905725,1.796723,3.580231,0.492477,-2.1242
"334",-2.057737,4.841207,2.345211,-0.117501,2.768824,-4.494605,-1.42431
"335",3.027741,4.396013,0.692585,3.302674,5.416294,0.964491,-0.455506
"336",-3.953169,4.207508,1.229091,4.86718,3.909261,-0.241146,-4.859083
"337",-2.758156,4.290705,1.378692,3.23726,6.418878,2.897404,-2.437652
"338",-0.639987,5.078712,5.495732,5.460706,6.283072,3.161442,-7.005797
"339",-2.341487,4.167155,1.252198,0.894212,6.449318,-0.26813,-4.794118
